"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 09- 30","191.63","190.37","191.82","189.44","163.45M","1.87%"
"2015- 09- 29","188.12","188.27","189.74","186.93","159.05M","0.06%"
"2015- 09- 28","188.01","191.78","191.91","187.64","178.52M","-2.51%"
"2015- 09- 25","192.85","194.64","195.00","191.81","155.05M","-0.03%"
"2015- 09- 24","192.90","192.15","193.45","190.56","159.38M","-0.36%"
"2015- 09- 23","193.60","194.11","194.67","192.91","92.79M","-0.16%"
"2015- 09- 22","193.91","193.88","194.46","192.56","153.89M","-1.30%"
"2015- 09- 21","196.46","196.44","197.68","195.21","105.73M","0.52%"
"2015- 09- 18","195.45","195.71","198.68","194.96","223.66M","-2.14%"
"2015- 09- 17","199.73","200.02","202.89","199.28","276.05M","-0.22%"
"2015- 09- 16","200.18","198.82","200.41","198.41","99.58M","0.87%"
"2015- 09- 15","198.46","196.61","198.99","195.96","113.81M","1.25%"
"2015- 09- 14","196.01","196.95","197.01","195.43","79.45M","-0.37%"
"2015- 09- 11","196.74","195.38","196.82","194.53","119.69M","0.45%"
"2015- 09- 10","195.85","194.56","197.22","194.25","158.61M","0.54%"
"2015- 09- 09","194.79","199.32","199.47","194.35","149.35M","-1.34%"
"2015- 09- 08","197.43","195.94","197.61","195.17","116.03M","2.51%"
"2015- 09- 04","192.59","192.85","193.86","191.61","207.08M","-1.51%"
"2015- 09- 03","195.55","196.26","198.05","194.96","152.09M","0.07%"
"2015- 09- 02","195.41","194.62","195.46","192.42","160.27M","1.90%"
"2015- 09- 01","191.77","193.12","194.77","190.73","256.00M","-2.98%"
"2015- 08- 31","197.67","198.11","199.12","197.01","163.30M","-0.81%"
"2015- 08- 28","199.28","198.50","199.84","197.92","160.41M","0.01%"
"2015- 08- 27","199.27","197.02","199.42","195.21","274.14M","2.47%"
"2015- 08- 26","194.46","192.08","194.79","188.37","339.26M","3.84%"
"2015- 08- 25","187.27","195.43","195.45","186.92","369.83M","-1.18%"
"2015- 08- 24","189.50","187.49","197.48","182.40","507.24M","-4.21%"
"2015- 08- 21","197.83","201.73","203.94","197.52","346.59M","-3.01%"
"2015- 08- 20","203.97","206.51","208.29","203.90","194.33M","-2.09%"
"2015- 08- 19","208.32","209.09","210.01","207.35","172.95M","-0.79%"
"2015- 08- 18","209.98","210.26","210.68","209.70","71.69M","-0.29%"
"2015- 08- 17","210.59","208.71","210.59","208.16","79.07M","0.56%"
"2015- 08- 14","209.42","208.43","209.51","208.26","72.79M","0.36%"
"2015- 08- 13","208.66","208.73","209.55","208.01","89.38M","-0.12%"
"2015- 08- 12","208.92","207.11","209.14","205.36","172.12M","0.12%"
"2015- 08- 11","208.67","208.97","209.47","207.76","126.08M","-0.90%"
"2015- 08- 10","210.57","209.28","210.67","209.28","80.27M","1.26%"
"2015- 08- 07","207.95","208.16","208.34","206.87","117.86M","-0.19%"
"2015- 08- 06","208.35","210.29","210.41","207.65","116.03M","-0.82%"
"2015- 08- 05","210.07","210.45","211.31","209.73","85.79M","0.33%"
"2015- 08- 04","209.38","209.70","210.25","208.80","81.82M","-0.20%"
"2015- 08- 03","209.79","210.46","210.53","208.65","113.97M","-0.34%"
"2015- 07- 31","210.50","211.42","211.45","210.16","103.27M","-0.15%"
"2015- 07- 30","210.82","210.16","211.02","209.42","91.30M","0.02%"
"2015- 07- 29","210.77","209.48","211.04","209.31","105.79M","0.69%"
"2015- 07- 28","209.33","207.79","209.50","206.80","123.54M","1.23%"
"2015- 07- 27","206.79","206.94","207.55","206.26","132.36M","-0.58%"
"2015- 07- 24","208.00","210.30","210.37","207.60","117.75M","-1.04%"
"2015- 07- 23","210.18","211.53","211.65","209.75","90.51M","-0.56%"
"2015- 07- 22","211.37","210.93","211.77","210.89","88.67M","-0.18%"
"2015- 07- 21","211.75","212.43","212.74","211.39","77.97M","-0.40%"
"2015- 07- 20","212.59","212.75","213.18","212.21","70.45M","0.05%"
"2015- 07- 17","212.48","212.29","212.55","211.80","89.03M","0.08%"
"2015- 07- 16","212.30","211.87","212.30","211.58","106.68M","0.80%"
"2015- 07- 15","210.61","210.73","211.28","210.04","97.91M","-0.03%"
"2015- 07- 14","210.68","209.72","211.05","209.65","81.71M","0.43%"
"2015- 07- 13","209.77","208.99","209.90","208.94","106.07M","1.10%"
"2015- 07- 10","207.48","207.29","207.98","204.95","129.46M","1.26%"
"2015- 07- 09","204.90","207.04","207.35","204.77","144.11M","0.18%"
"2015- 07- 08","204.53","206.42","206.76","204.25","164.02M","-1.68%"
"2015- 07- 07","208.02","206.96","208.17","204.11","173.82M","0.63%"
"2015- 07- 06","206.72","205.77","207.65","205.53","117.98M","-0.28%"
"2015- 07- 02","207.31","208.07","208.27","206.81","104.37M","-0.09%"
"2015- 07- 01","207.50","207.73","208.03","206.56","135.98M","0.80%"
"2015- 06- 30","205.85","207.26","207.32","205.28","182.93M","0.21%"
"2015- 06- 29","205.42","208.04","209.83","205.33","202.62M","-2.10%"
"2015- 06- 26","209.82","210.29","210.58","209.16","104.17M","-0.02%"
"2015- 06- 25","209.86","211.10","211.25","209.77","97.11M","-0.30%"
"2015- 06- 24","210.50","211.72","212.17","210.47","92.31M","-0.73%"
"2015- 06- 23","212.04","212.14","212.44","211.57","68.48M","0.07%"
"2015- 06- 22","211.89","211.91","212.59","211.64","70.70M","0.51%"
"2015- 06- 19","210.81","211.46","211.55","210.36","130.48M","-0.93%"
"2015- 06- 18","212.78","211.31","213.34","210.63","165.87M","1.04%"
"2015- 06- 17","210.59","210.59","211.32","209.36","126.71M","0.16%"
"2015- 06- 16","210.25","208.93","210.35","208.72","85.31M","0.55%"
"2015- 06- 15","209.11","208.64","209.45","207.79","124.38M","-0.43%"
"2015- 06- 12","210.01","210.64","211.48","209.68","135.38M","-0.77%"
"2015- 06- 11","211.63","211.48","212.09","211.20","73.88M","0.32%"
"2015- 06- 10","210.95","209.37","211.41","209.30","134.55M","1.20%"
"2015- 06- 09","208.45","208.45","209.10","207.69","105.03M","-0.01%"
"2015- 06- 08","208.48","209.64","209.82","208.39","89.06M","-0.61%"
"2015- 06- 05","209.77","209.95","210.58","208.98","121.70M","-0.17%"
"2015- 06- 04","210.13","211.07","211.86","209.75","151.88M","-0.84%"
"2015- 06- 03","211.92","212.00","212.67","211.33","87.82M","0.26%"
"2015- 06- 02","211.36","211.02","212.19","210.27","91.53M","-0.10%"
"2015- 06- 01","211.57","211.94","212.34","210.62","93.34M","0.20%"
"2015- 05- 29","211.14","212.38","212.43","210.82","124.92M","-0.62%"
"2015- 05- 28","212.46","212.33","212.59","211.63","74.97M","-0.11%"
"2015- 05- 27","212.70","211.25","212.98","210.76","93.21M","0.95%"
"2015- 05- 26","210.70","212.40","212.91","210.20","124.31M","-1.08%"
"2015- 05- 22","212.99","213.04","213.54","212.91","57.43M","-0.24%"
"2015- 05- 21","213.50","212.71","213.75","212.51","64.76M","0.29%"
"2015- 05- 20","212.88","213.15","213.78","212.50","76.86M","-0.07%"
"2015- 05- 19","213.03","213.24","213.57","212.69","72.11M","-0.03%"
"2015- 05- 18","213.10","212.24","213.40","212.16","74.55M","0.31%"
"2015- 05- 15","212.44","212.44","212.61","211.86","76.51M","0.11%"
"2015- 05- 14","212.21","211.24","212.32","210.91","95.93M","1.04%"
"2015- 05- 13","210.02","210.47","211.22","209.74","94.67M","0.02%"
"2015- 05- 12","209.98","209.61","210.63","208.62","119.73M","-0.29%"
"2015- 05- 11","210.60","211.57","211.89","210.52","75.71M","-0.48%"
"2015- 05- 08","211.62","210.88","211.86","210.78","155.88M","1.32%"
"2015- 05- 07","208.87","207.92","209.38","207.52","88.24M","0.40%"
"2015- 05- 06","208.04","209.56","209.93","206.76","135.06M","-0.41%"
"2015- 05- 05","208.90","211.03","211.46","208.73","113.33M","-1.15%"
"2015- 05- 04","211.32","211.23","212.02","211.10","70.93M","0.28%"
"2015- 05- 01","210.72","209.40","210.77","209.28","103.40M","1.08%"
"2015- 04- 30","208.46","209.88","210.35","207.62","161.30M","-1.00%"
"2015- 04- 29","210.57","210.37","211.29","209.60","125.68M","-0.41%"
"2015- 04- 28","211.44","210.74","211.50","209.33","86.86M","0.32%"
"2015- 04- 27","210.77","212.33","212.48","210.54","79.36M","-0.42%"
"2015- 04- 24","211.65","211.66","211.97","211.11","61.33M","0.23%"
"2015- 04- 23","211.16","210.15","211.94","210.01","102.59M","0.25%"
"2015- 04- 22","210.63","210.01","210.85","208.90","78.26M","0.49%"
"2015- 04- 21","209.60","210.67","210.86","209.24","72.56M","-0.12%"
"2015- 04- 20","209.85","209.06","210.25","208.96","92.19M","0.91%"
"2015- 04- 17","207.95","208.94","209.23","207.01","191.11M","-1.15%"
"2015- 04- 16","210.37","210.03","210.98","209.79","68.93M","-0.03%"
"2015- 04- 15","210.43","210.05","211.04","209.95","99.53M","0.45%"
"2015- 04- 14","209.49","208.85","209.71","208.10","75.10M","0.19%"
"2015- 04- 13","209.09","209.87","210.63","209.03","74.44M","-0.45%"
"2015- 04- 10","210.04","209.20","210.09","208.96","72.72M","0.55%"
"2015- 04- 09","208.90","207.78","209.18","207.19","85.55M","0.45%"
"2015- 04- 08","207.97","207.55","208.51","207.08","89.35M","0.33%"
"2015- 04- 07","207.28","207.85","208.76","207.24","81.24M","-0.26%"
"2015- 04- 06","207.83","205.37","208.45","205.21","114.37M","0.67%"
"2015- 04- 02","206.44","205.62","206.98","205.40","86.90M","0.36%"
"2015- 04- 01","205.70","206.39","206.42","204.51","137.30M","-0.35%"
"2015- 03- 31","206.43","207.26","208.10","206.36","126.77M","-0.87%"
"2015- 03- 30","208.25","206.98","208.61","206.96","96.18M","1.22%"
"2015- 03- 27","205.74","205.13","205.95","204.90","118.94M","0.23%"
"2015- 03- 26","205.27","204.96","206.37","204.12","153.07M","-0.24%"
"2015- 03- 25","205.76","209.07","209.35","205.71","159.52M","-1.47%"
"2015- 03- 24","208.82","209.85","210.40","208.74","77.81M","-0.56%"
"2015- 03- 23","210.00","210.42","211.11","210.00","71.78M","-0.19%"
"2015- 03- 20","210.41","209.71","211.02","209.49","177.72M","0.43%"
"2015- 03- 19","209.50","209.96","210.47","209.03","117.92M","-0.46%"
"2015- 03- 18","210.46","207.39","211.27","206.62","228.81M","1.20%"
"2015- 03- 17","207.96","207.69","208.42","206.98","94.51M","-0.30%"
"2015- 03- 16","208.58","206.71","208.69","205.86","136.10M","1.34%"
"2015- 03- 13","205.83","206.77","207.93","204.58","162.41M","-0.61%"
"2015- 03- 12","207.10","205.26","207.18","205.20","93.99M","1.27%"
"2015- 03- 11","204.50","205.29","205.50","204.40","110.15M","-0.23%"
"2015- 03- 10","204.98","206.71","206.81","204.93","157.12M","-1.62%"
"2015- 03- 09","208.36","207.74","208.79","207.55","89.82M","0.41%"
"2015- 03- 06","207.50","209.42","209.94","207.10","188.13M","-1.41%"
"2015- 03- 05","210.46","210.62","210.80","209.85","76.87M","0.11%"
"2015- 03- 04","210.23","210.40","210.49","209.06","114.50M","-0.42%"
"2015- 03- 03","211.12","211.47","212.05","210.08","110.33M","-0.41%"
"2015- 03- 02","211.99","210.78","212.06","210.72","87.49M","0.63%"
"2015- 02- 27","210.66","211.26","211.58","210.60","108.08M","-0.34%"
"2015- 02- 26","211.38","211.52","211.71","210.65","72.70M","-0.12%"
"2015- 02- 25","211.63","211.66","212.24","211.22","73.06M","-0.08%"
"2015- 02- 24","211.81","211.12","212.05","210.76","72.47M","0.28%"
"2015- 02- 23","211.21","210.94","211.21","210.48","74.41M","-0.01%"
"2015- 02- 20","211.24","209.48","211.33","208.73","140.90M","0.60%"
"2015- 02- 19","209.98","209.41","210.42","209.24","91.46M","-0.07%"
"2015- 02- 18","210.13","209.66","210.22","209.34","80.65M","0.01%"
"2015- 02- 17","210.11","209.40","210.32","209.10","76.97M","0.16%"
"2015- 02- 13","209.78","209.07","209.84","208.76","93.67M","0.41%"
"2015- 02- 12","208.92","207.89","208.99","206.97","97.55M","0.96%"
"2015- 02- 11","206.93","206.61","207.45","205.83","91.09M","0.06%"
"2015- 02- 10","206.81","205.88","207.12","204.68","96.16M","1.07%"
"2015- 02- 09","204.63","204.77","205.64","204.13","87.22M","-0.45%"
"2015- 02- 06","205.55","206.56","207.24","204.92","125.67M","-0.28%"
"2015- 02- 05","206.12","204.86","206.30","204.77","97.95M","1.01%"
"2015- 02- 04","204.06","203.92","205.38","203.51","134.31M","-0.38%"
"2015- 02- 03","204.84","203.00","204.85","202.55","124.21M","1.45%"
"2015- 02- 02","201.92","200.05","202.03","197.86","163.11M","1.24%"
"2015- 01- 30","199.45","200.57","202.17","199.13","197.73M","-1.26%"
"2015- 01- 29","201.99","200.38","202.30","198.68","173.59M","0.92%"
"2015- 01- 28","200.14","204.17","204.29","199.91","168.51M","-1.28%"
"2015- 01- 27","202.74","202.97","204.12","201.74","134.04M","-1.32%"
"2015- 01- 26","205.45","204.71","205.56","203.85","92.01M","0.23%"
"2015- 01- 23","204.97","205.79","206.10","204.81","117.52M","-0.55%"
"2015- 01- 22","206.10","203.99","206.26","202.33","174.36M","1.49%"
"2015- 01- 21","203.08","201.50","203.66","200.94","122.94M","0.50%"
"2015- 01- 20","202.06","202.40","202.72","200.17","130.99M","0.21%"
"2015- 01- 16","201.63","198.77","201.82","198.55","211.88M","1.31%"
"2015- 01- 15","199.02","201.63","202.01","198.88","176.61M","-0.92%"
"2015- 01- 14","200.86","199.65","201.10","198.57","192.99M","-0.60%"
"2015- 01- 13","202.08","204.12","205.48","200.51","214.55M","-0.28%"
"2015- 01- 12","202.65","204.41","204.60","201.92","144.40M","-0.78%"
"2015- 01- 09","204.25","206.40","206.42","203.51","158.57M","-0.80%"
"2015- 01- 08","205.90","204.01","206.16","203.99","147.22M","1.77%"
"2015- 01- 07","202.31","201.42","202.72","200.88","125.35M","1.25%"
"2015- 01- 06","199.82","202.09","202.72","198.85","209.15M","-0.94%"
"2015- 01- 05","201.72","204.17","204.37","201.35","169.63M","-1.81%"
"2015- 01- 02","205.43","206.38","206.88","204.18","121.47M","-0.05%"
"2014- 12- 31","205.54","207.99","208.19","205.39","130.33M","-0.99%"
"2014- 12- 30","207.60","208.21","208.37","207.51","73.54M","-0.54%"
"2014- 12- 29","208.72","208.22","208.97","208.14","79.64M","0.13%"
"2014- 12- 26","208.44","208.31","208.85","208.25","57.33M","0.32%"
"2014- 12- 24","207.77","208.02","208.34","207.72","42.96M","0.01%"
"2014- 12- 23","207.75","208.17","208.23","207.40","122.17M","0.13%"
"2014- 12- 22","207.47","206.75","207.47","206.46","148.32M","0.46%"
"2014- 12- 19","206.52","206.43","207.33","205.61","245.08M","-0.13%"
"2014- 12- 18","206.78","204.74","212.97","203.92","257.63M","2.47%"
"2014- 12- 17","201.79","198.44","202.34","198.29","253.91M","1.96%"
"2014- 12- 16","197.91","198.58","202.40","197.86","259.54M","-0.80%"
"2014- 12- 15","199.51","201.98","202.53","198.78","189.97M","-0.69%"
"2014- 12- 12","200.89","202.64","203.82","200.85","202.33M","-1.62%"
"2014- 12- 11","204.19","203.88","206.19","203.71","159.01M","0.51%"
"2014- 12- 10","203.16","205.91","205.98","202.93","159.86M","-1.60%"
"2014- 12- 09","206.47","204.37","206.60","203.91","125.18M","-0.07%"
"2014- 12- 08","206.61","207.52","208.12","205.93","108.59M","-0.67%"
"2014- 12- 05","208.00","207.87","208.47","207.55","91.03M","0.16%"
"2014- 12- 04","207.66","207.54","208.26","206.70","91.32M","-0.11%"
"2014- 12- 03","207.89","207.30","208.15","207.10","68.95M","0.39%"
"2014- 12- 02","207.09","205.81","207.34","205.78","74.51M","0.65%"
"2014- 12- 01","205.76","206.40","206.54","205.38","103.97M","-0.69%"
"2014- 11- 28","207.20","207.49","207.87","206.91","57.89M","-0.21%"
"2014- 11- 26","207.64","207.29","207.76","207.03","62.17M","0.26%"
"2014- 11- 25","207.11","207.54","207.79","206.80","79.11M","-0.07%"
"2014- 11- 24","207.26","207.17","207.39","206.91","65.88M","0.28%"
"2014- 11- 21","206.68","207.64","207.84","205.98","142.33M","0.54%"
"2014- 11- 20","205.58","204.26","205.71","204.18","72.84M","0.18%"
"2014- 11- 19","205.22","205.31","205.55","204.30","82.37M","-0.16%"
"2014- 11- 18","205.55","204.44","205.92","204.44","76.07M","0.58%"
"2014- 11- 17","204.37","203.85","204.58","203.65","80.44M","0.06%"
"2014- 11- 14","204.24","204.10","204.49","203.72","80.42M","0.02%"
"2014- 11- 13","204.19","204.16","204.83","203.21","85.36M","0.11%"
"2014- 11- 12","203.96","203.35","204.24","203.31","90.12M","-0.11%"
"2014- 11- 11","204.18","204.06","204.31","203.65","54.50M","0.10%"
"2014- 11- 10","203.98","203.38","204.04","203.13","66.32M","0.31%"
"2014- 11- 07","203.34","203.17","203.60","202.61","89.54M","0.09%"
"2014- 11- 06","203.15","202.39","203.26","201.64","107.09M","0.40%"
"2014- 11- 05","202.34","202.54","202.59","201.45","91.71M","0.63%"
"2014- 11- 04","201.07","201.23","201.60","200.06","93.34M","-0.35%"
"2014- 11- 03","201.77","201.92","202.45","201.31","93.73M","0.05%"
"2014- 10- 31","201.66","201.78","201.82","200.77","146.90M","1.14%"
"2014- 10- 30","199.38","197.58","199.95","197.40","113.33M","0.64%"
"2014- 10- 29","198.11","198.55","199.12","196.80","142.56M","-0.15%"
"2014- 10- 28","198.41","196.82","198.42","196.73","106.74M","1.15%"
"2014- 10- 27","196.16","195.73","196.45","195.03","82.95M","-0.14%"
"2014- 10- 24","196.43","195.25","196.49","194.49","117.93M","0.77%"
"2014- 10- 23","194.93","194.62","196.20","194.26","154.94M","1.16%"
"2014- 10- 22","192.69","194.41","194.91","192.61","151.82M","-0.71%"
"2014- 10- 21","194.07","191.68","194.20","191.48","154.95M","1.98%"
"2014- 10- 20","190.30","188.13","190.45","188.07","130.01M","0.97%"
"2014- 10- 17","188.47","188.42","189.75","187.62","214.62M","1.18%"
"2014- 10- 16","186.27","183.06","187.58","182.89","270.39M","-0.09%"
"2014- 10- 15","186.43","185.16","187.69","181.92","380.71M","-0.68%"
"2014- 10- 14","187.70","188.42","189.82","187.04","215.85M","0.15%"
"2014- 10- 13","187.41","190.46","191.15","187.30","230.94M","-1.64%"
"2014- 10- 10","190.54","192.69","193.65","190.49","221.91M","-1.14%"
"2014- 10- 09","192.74","196.33","196.60","192.58","210.70M","-1.98%"
"2014- 10- 08","196.64","193.37","196.92","192.36","186.46M","1.75%"
"2014- 10- 07","193.26","195.28","195.72","193.22","147.91M","-1.54%"
"2014- 10- 06","196.29","197.34","197.60","195.58","104.78M","-0.12%"
"2014- 10- 03","196.52","195.68","196.94","195.08","121.57M","1.10%"
"2014- 10- 02","194.38","194.18","195.06","192.35","157.29M","0.02%"
"2014- 10- 01","194.35","196.70","196.77","193.91","177.80M","-1.36%"
"2014- 09- 30","197.02","197.69","198.30","196.61","131.30M","-0.26%"
"2014- 09- 29","197.54","196.20","197.89","196.05","95.11M","-0.18%"
"2014- 09- 26","197.90","196.70","198.39","196.42","103.55M","0.79%"
"2014- 09- 25","196.34","199.04","199.05","196.27","150.30M","-1.61%"
"2014- 09- 24","199.56","198.04","199.69","197.52","107.28M","0.78%"
"2014- 09- 23","198.01","198.43","199.26","197.95","111.39M","-0.57%"
"2014- 09- 22","199.15","200.35","200.38","198.73","125.55M","-0.77%"
"2014- 09- 19","200.70","201.52","201.90","200.29","121.65M","-0.55%"
"2014- 09- 18","201.82","201.36","201.85","201.10","94.99M","0.53%"
"2014- 09- 17","200.75","200.77","201.68","199.75","151.27M","0.13%"
"2014- 09- 16","200.48","198.61","200.84","198.50","116.20M","0.75%"
"2014- 09- 15","198.98","199.16","199.32","198.38","76.40M","-0.08%"
"2014- 09- 12","199.13","200.10","200.12","198.56","117.48M","-0.58%"
"2014- 09- 11","200.30","199.27","200.33","199.12","66.82M","0.11%"
"2014- 09- 10","200.07","199.43","200.20","198.77","67.25M","0.38%"
"2014- 09- 09","199.32","200.41","200.55","198.91","88.59M","-0.63%"
"2014- 09- 08","200.59","200.92","201.21","200.00","64.15M","-0.26%"
"2014- 09- 05","201.11","200.17","201.19","199.41","102.18M","0.45%"
"2014- 09- 04","200.21","200.84","201.58","199.66","85.24M","-0.14%"
"2014- 09- 03","200.50","201.38","201.41","200.22","57.46M","-0.05%"
"2014- 09- 02","200.61","200.97","201.00","199.86","72.43M","-0.05%"
"2014- 08- 29","200.71","200.45","200.73","199.82","65.91M","0.28%"
"2014- 08- 28","200.14","199.59","200.27","199.39","58.33M","-0.05%"
"2014- 08- 27","200.25","200.43","200.57","199.94","47.87M","-0.04%"
"2014- 08- 26","200.33","200.33","200.82","200.28","47.30M","0.06%"
"2014- 08- 25","200.20","200.14","200.59","199.15","63.86M","0.51%"
"2014- 08- 22","199.19","199.34","199.69","198.74","76.11M","-0.16%"
"2014- 08- 21","199.50","199.09","199.76","198.93","67.79M","0.29%"
"2014- 08- 20","198.92","198.12","199.16","198.08","72.76M","0.27%"
"2014- 08- 19","198.39","197.84","198.54","197.44","59.13M","0.52%"
"2014- 08- 18","197.36","196.80","197.45","196.69","75.42M","0.84%"
"2014- 08- 15","195.72","196.47","196.65","194.31","139.95M","-0.02%"
"2014- 08- 14","195.76","195.16","195.76","194.98","57.37M","0.47%"
"2014- 08- 13","194.84","194.29","195.06","193.96","69.05M","0.68%"
"2014- 08- 12","193.53","193.61","194.15","192.94","73.63M","-0.13%"
"2014- 08- 11","193.79","193.97","194.66","193.71","74.54M","0.28%"
"2014- 08- 08","193.24","191.46","193.37","190.95","117.01M","1.16%"
"2014- 08- 07","191.03","192.94","193.13","190.55","135.73M","-0.54%"
"2014- 08- 06","192.07","191.11","192.89","191.08","94.82M","0.03%"
"2014- 08- 05","192.01","193.10","193.60","191.31","152.69M","-0.97%"
"2014- 08- 04","193.89","192.87","194.30","192.05","91.34M","0.72%"
"2014- 08- 01","192.50","192.56","193.76","191.57","189.26M","-0.31%"
"2014- 07- 31","193.09","195.61","195.78","192.97","183.48M","-1.97%"
"2014- 07- 30","196.98","197.65","197.91","196.16","104.22M","0.02%"
"2014- 07- 29","196.95","198.17","198.45","196.92","80.47M","-0.43%"
"2014- 07- 28","197.80","197.76","198.09","196.62","69.26M","0.04%"
"2014- 07- 25","197.72","198.09","198.26","197.33","76.84M","-0.47%"
"2014- 07- 24","198.65","198.83","199.06","198.45","56.89M","0.01%"
"2014- 07- 23","198.64","198.50","198.85","198.10","65.61M","0.22%"
"2014- 07- 22","198.20","198.01","198.56","197.87","67.68M","0.44%"
"2014- 07- 21","197.34","197.09","197.50","196.43","67.59M","-0.19%"
"2014- 07- 18","197.71","196.35","197.91","196.24","124.33M","1.02%"
"2014- 07- 17","195.71","197.35","198.10","195.43","145.40M","-1.14%"
"2014- 07- 16","197.96","198.11","198.26","197.42","80.07M","0.37%"
"2014- 07- 15","197.23","197.72","198.10","196.36","111.35M","-0.19%"
"2014- 07- 14","197.60","197.61","197.86","197.44","58.66M","0.50%"
"2014- 07- 11","196.61","196.22","196.75","195.78","64.24M","0.14%"
"2014- 07- 10","196.34","195.22","196.86","195.06","99.04M","-0.40%"
"2014- 07- 09","197.12","196.73","197.29","196.31","72.99M","0.45%"
"2014- 07- 08","196.24","197.15","197.22","195.76","108.14M","-0.64%"
"2014- 07- 07","197.51","197.82","197.98","197.22","61.70M","-0.35%"
"2014- 07- 03","198.20","197.79","198.29","197.64","52.94M","0.49%"
"2014- 07- 02","197.23","197.05","197.48","196.96","52.47M","0.10%"
"2014- 07- 01","197.03","196.20","197.63","196.13","90.47M","0.67%"
"2014- 06- 30","195.72","195.70","196.16","195.53","70.50M","-0.05%"
"2014- 06- 27","195.82","194.98","195.88","194.88","71.45M","0.19%"
"2014- 06- 26","195.44","195.61","195.63","194.13","84.31M","-0.07%"
"2014- 06- 25","195.58","194.29","195.78","194.25","82.78M","0.45%"
"2014- 06- 24","194.70","195.53","196.50","194.48","96.24M","-0.60%"
"2014- 06- 23","195.88","195.99","196.05","195.52","70.61M","-0.03%"
"2014- 06- 20","195.94","196.03","196.10","195.70","100.59M","-0.27%"
"2014- 06- 19","196.48","196.43","196.60","195.80","85.93M","0.12%"
"2014- 06- 18","196.25","194.83","196.37","194.40","105.27M","0.73%"
"2014- 06- 17","194.83","194.02","194.97","193.81","84.83M","0.28%"
"2014- 06- 16","194.29","193.89","194.70","193.66","87.42M","0.08%"
"2014- 06- 13","194.13","193.92","194.32","193.30","82.02M","0.30%"
"2014- 06- 12","193.54","194.69","194.80","193.11","106.35M","-0.71%"
"2014- 06- 11","194.92","194.90","195.12","194.48","68.77M","-0.35%"
"2014- 06- 10","195.60","195.34","195.64","194.92","57.13M","0.01%"
"2014- 06- 09","195.58","195.35","196.05","195.17","65.12M","0.10%"
"2014- 06- 06","195.38","194.87","195.43","194.78","78.70M","0.48%"
"2014- 06- 05","194.45","193.41","194.65","192.70","92.10M","0.65%"
"2014- 06- 04","193.19","192.47","193.30","192.26","55.53M","0.20%"
"2014- 06- 03","192.80","192.43","192.90","192.25","65.05M","-0.05%"
"2014- 06- 02","192.90","192.95","192.99","191.97","64.66M","0.11%"
"2014- 05- 30","192.68","192.19","192.80","192.03","76.32M","0.16%"
"2014- 05- 29","192.37","191.82","192.40","191.33","64.38M","0.52%"
"2014- 05- 28","191.38","191.52","191.82","191.06","66.72M","-0.07%"
"2014- 05- 27","191.52","191.06","191.58","190.95","72.01M","0.61%"
"2014- 05- 23","190.35","189.76","190.48","189.59","60.16M","0.40%"
"2014- 05- 22","189.59","189.18","189.98","188.86","61.55M","0.24%"
"2014- 05- 21","189.13","188.09","189.22","188.06","89.09M","0.84%"
"2014- 05- 20","187.55","188.65","188.67","187.07","111.64M","-0.63%"
"2014- 05- 19","188.74","187.69","188.89","187.52","63.84M","0.37%"
"2014- 05- 16","188.05","187.51","188.13","186.72","97.46M","0.35%"
"2014- 05- 15","187.40","188.68","188.72","186.48","154.96M","-0.88%"
"2014- 05- 14","189.06","189.79","189.88","188.79","72.37M","-0.47%"
"2014- 05- 13","189.96","190.04","190.42","189.77","66.45M","0.09%"
"2014- 05- 12","189.78","188.80","189.88","188.00","86.94M","0.97%"
"2014- 05- 09","187.96","187.71","188.04","186.83","83.68M","0.15%"
"2014- 05- 08","187.68","187.71","189.05","187.08","93.62M","-0.11%"
"2014- 05- 07","187.88","187.41","187.97","186.01","106.50M","0.59%"
"2014- 05- 06","186.78","188.00","188.13","186.74","85.45M","-0.87%"
"2014- 05- 05","188.42","187.14","188.55","186.62","75.88M","0.19%"
"2014- 05- 02","188.06","188.31","189.14","187.78","98.12M","-0.14%"
"2014- 05- 01","188.32","188.22","188.84","187.73","93.02M","0.01%"
"2014- 04- 30","188.31","187.44","188.50","187.18","101.51M","0.30%"
"2014- 04- 29","187.75","187.48","188.04","187.08","84.10M","0.47%"
"2014- 04- 28","186.88","187.05","187.69","184.96","135.12M","0.32%"
"2014- 04- 25","186.29","187.22","187.33","185.87","100.38M","-0.82%"
"2014- 04- 24","187.83","188.37","188.39","186.93","88.17M","0.20%"
"2014- 04- 23","187.45","187.82","187.92","187.30","73.87M","-0.23%"
"2014- 04- 22","187.89","187.23","188.40","187.13","85.79M","0.45%"
"2014- 04- 21","187.04","186.44","187.10","186.21","68.33M","0.35%"
"2014- 04- 17","186.39","185.88","186.91","185.56","105.25M","0.15%"
"2014- 04- 16","186.12","185.47","186.14","184.65","105.20M","1.04%"
"2014- 04- 15","184.20","183.32","184.33","181.51","157.09M","0.69%"
"2014- 04- 14","182.94","182.93","183.37","181.44","132.38M","0.79%"
"2014- 04- 11","181.51","182.14","183.42","181.31","167.25M","-0.90%"
"2014- 04- 10","183.16","187.08","187.17","182.93","172.96M","-2.10%"
